contract_id,product_id,qty,price_sold,total_sold
14080287206787,5236,1,22.9500,22.9500
14080287206787,5240,1,18.9500,18.9500
14080287206787,5243,1,42.9500,42.9500
14080442525655,5256,1,122.9500,122.9500
14085514945244,4782,1,128.9500,128.9500
14085532931414,4718,1,112.9500,112.9500
14085532931414,4721,1,44.9500,44.9500
14085532931414,4722,1,52.9500,52.9500
14086397736641,5286,1,148.9500,148.9500
14115776001923,5459,1,32.9500,32.9500
14126096439991,5533,1,18.9500,18.9500
14126096439991,5536,1,16.9500,16.9500
14126096439991,5537,1,18.9500,18.9500
14126187994233,5538,1,22.9500,22.9500
14128622246358,5549,1,18.9500,18.9500
14128659673503,5558,1,24.9500,24.9500
14128659673503,5560,1,20.9500,20.9500
14128659673503,5565,1,24.9500,24.9500
14128690139807,5568,1,22.9500,22.9500
14128690139807,5571,1,32.9500,32.9500
14129619335725,5575,1,162.9500,162.9500
14138155427933,5589,1,52.9500,52.9500
14138155427933,5590,1,38.9500,38.9500
14138155427933,5596,1,58.9500,58.9500
14140889516957,5627,1,34.9500,34.9500
1414422195823,5635,1,24.9500,24.9500
1414422195823,5640,1,28.9500,28.9500
14144252497436,5644,2,28.9500,57.9000
14144272971608,5649,1,28.9500,28.9500
14144272971608,5657,1,22.9500,22.9500
14144308380542,5665,1,24.9500,24.9500
14144308380542,5666,1,22.9500,22.9500
14144333381577,5667,1,22.9500,22.9500
14144346521333,5671,1,38.9500,38.9500
14145904883222,5737,1,88.9500,88.9500
14145904883222,5738,1,88.9500,88.9500
14146049030347,5762,1,58.9500,58.9500
14146049030347,5763,1,198.9500,198.9500
14150308029333,5883,1,48.9500,48.9500
14150316099511,5887,1,14.9500,14.9500
14150316099511,5888,1,14.9500,14.9500
14153818223929,5932,1,14.9500,14.9500
14153818223929,5933,1,44.9500,44.9500
14156427458823,5962,1,58.9500,58.9500
14156459828457,5972,1,26.9500,26.9500
14164238463878,6079,1,22.9500,22.9500
14164238463878,6080,1,22.9500,22.9500
14164238463878,6081,1,21.9500,21.9500
14165054608697,6089,1,38.9500,38.9500
1416507509544,6090,1,32.9500,32.9500
1416507509544,6092,1,26.9500,26.9500
14177060634481,6230,1,68.9500,68.9500
14177117282356,6231,1,24.9500,24.9500
14177117282356,6232,1,24.9500,24.9500
1417718247745,6239,1,18.9500,18.9500
14177265429048,6249,1,36.9500,36.9500
14187510669872,6624,1,22.9500,22.9500
14187510669872,6629,1,36.9500,36.9500
14187510669872,6635,1,42.9500,42.9500
14187510669872,6637,1,110.9500,110.9500
14187510669872,6649,1,48.9500,48.9500
14189172264774,6722,1,22.9500,22.9500
14189253043372,6727,1,21.9500,21.9500
14189286664601,6738,1,36.9500,36.9500
14189286664601,6741,1,34.9500,34.9500
14189286664601,6744,1,42.9500,42.9500
14189286664601,6746,1,52.9500,52.9500
14189286664601,6760,1,49.9500,49.9500
14189286664601,6761,1,122.9500,122.9500
