id,name
294,BEIGE
265,BLACK
10,BLUE
264,BROWN
295,CREAM
1912,CREME
266,FUCHSIA
259,GOLD
296,GREEN
8,GREY
270,LIME
267,MAROON
1913,MULTI
272,NAVY
271,OLIVE
297,ORANGE
260,PINK
263,PURPLE
298,RED
268,SILVER
262,TAN
269,TEAL
9,WHITE
261,YELLOW
